,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,count
3052,17.5,"Private,State-gov",207370.83333333334,"12th,11th",7.166666666666667,Never-married,"Other-service,Sales",Own-child,White,Male,0.0,0.0,20.833333333333332,United-States,<=50k,6
119,17.545454545454547,Private,152055.63636363635,"5th-6th,10th",5.7272727272727275,Never-married,"Priv-house-serv,Sales","Own-child,Unmarried","White,Black",Female,0.0,0.0,12.090909090909092,"United-States,Mexico",<=50k,11
2342,17.545454545454547,"Private,Self-emp-not-inc",358842.8181818182,"12th,11th",7.363636363636363,Never-married,"Other-service,Farming-fishing,Sales",Own-child,White,Male,0.0,0.0,12.818181818181818,United-States,<=50k,11
770,17.555555555555557,Private,236040.11111111112,10th,6.0,Never-married,Other-service,Own-child,"White,Black",Male,0.0,0.0,18.77777777777778,United-States,<=50k,9
277,17.571428571428573,"Local-gov,?",391460.14285714284,"12th,11th",7.285714285714286,Never-married,"Adm-clerical,?",Own-child,"White,Black",Female,0.0,0.0,13.142857142857142,United-States,<=50k,7
1175,17.6,Private,197089.6,"12th,11th",7.4,Never-married,"Adm-clerical,Sales",Own-child,White,Female,0.0,0.0,20.0,United-States,<=50k,10
2340,17.6,"Private,State-gov",120385.0,"12th,11th",7.2,Never-married,Other-service,Own-child,White,Male,0.0,172.1,10.8,"United-States,Peru",<=50k,10
1241,17.666666666666668,"Local-gov,?",153827.5,"HS-grad,10th",7.5,Never-married,"Protective-serv,?",Own-child,White,Female,0.0,267.0,43.333333333333336,United-States,<=50k,6
2919,17.666666666666668,Private,150282.66666666666,"9th,HS-grad",7.666666666666667,Never-married,Other-service,Own-child,White,Female,0.0,0.0,18.0,United-States,<=50k,6
3050,17.666666666666668,Private,179397.5,"12th,11th",7.166666666666667,Never-married,"Handlers-cleaners,Other-service",Own-child,White,Male,362.6666666666667,0.0,16.666666666666668,United-States,<=50k,6
1179,17.7,Private,262853.7,"12th,11th",7.2,Never-married,"Other-service,Adm-clerical,Sales","Not-in-family,Own-child","White,Black",Female,0.0,0.0,16.7,United-States,<=50k,10
245,17.714285714285715,Private,193578.85714285713,"12th,11th",7.142857142857143,Never-married,"Other-service,Adm-clerical",Other-relative,"White,Black",Female,0.0,0.0,19.0,United-States,<=50k,7
3055,17.714285714285715,"Private,State-gov",394143.5714285714,11th,7.0,Never-married,"Other-service,Sales",Own-child,White,Male,0.0,0.0,26.142857142857142,United-States,<=50k,7
267,17.77777777777778,"Local-gov,Self-emp-inc,?",125145.55555555556,"12th,11th",7.111111111111111,Never-married,"Protective-serv,Sales,?",Own-child,White,Male,0.0,0.0,18.555555555555557,United-States,<=50k,9
1169,17.77777777777778,Private,105078.44444444444,12th,8.0,Never-married,"Adm-clerical,Sales",Own-child,White,Female,0.0,0.0,20.333333333333332,United-States,<=50k,9
268,17.8,"Self-emp-inc,Local-gov,?",290653.5,"12th,11th",7.2,Never-married,"Prof-specialty,Adm-clerical,Sales,?","Not-in-family,Own-child",White,Male,0.0,0.0,20.6,"United-States,Peru",<=50k,10
2920,17.833333333333332,Private,115996.83333333333,HS-grad,9.0,Never-married,Sales,Own-child,"White,Black",Female,0.0,267.0,19.166666666666668,United-States,<=50k,6
1675,17.833333333333332,Private,124761.16666666667,"12th,11th",7.166666666666667,Never-married,Sales,Own-child,"White,Black",Female,0.0,0.0,28.333333333333332,United-States,<=50k,6
766,17.833333333333332,Private,142469.0,10th,6.0,Never-married,"Handlers-cleaners,Sales",Own-child,White,Male,0.0,0.0,28.5,United-States,<=50k,6
780,17.857142857142858,"Private,Self-emp-not-inc",233165.57142857142,"12th,11th",7.571428571428571,Never-married,"Exec-managerial,Adm-clerical",Own-child,White,Female,0.0,0.0,28.142857142857142,United-States,<=50k,7
1690,17.875,"Private,Self-emp-not-inc",97874.5,11th,7.0,Never-married,"Handlers-cleaners,Craft-repair,Transport-moving",Own-child,White,Male,74.25,0.0,40.0,"United-States,Canada",<=50k,8
3673,18.0,Private,105690.66666666667,"12th,11th",7.333333333333333,Never-married,Other-service,Own-child,White,Male,175.83333333333334,267.0,20.833333333333332,"United-States,Scotland",<=50k,6
783,18.0,Private,181108.75,"12th,11th",7.25,Never-married,"Craft-repair,Transport-moving",Own-child,White,Male,0.0,0.0,13.0,United-States,<=50k,8
1163,18.0,Private,371189.5,"1st-4th,5th-6th,10th",3.8333333333333335,Never-married,"Handlers-cleaners,Other-service",Other-relative,White,Male,0.0,267.0,46.5,"United-States,Mexico",<=50k,6
1674,18.125,"Private,Federal-gov",83076.625,"12th,11th",7.5,Never-married,Other-service,Own-child,"White,Black",Female,0.0,215.125,28.375,United-States,<=50k,8
1712,18.166666666666668,?,147378.83333333334,"HS-grad,10th",7.5,Never-married,?,Own-child,White,Male,0.0,0.0,30.0,United-States,<=50k,6
1173,18.166666666666668,Private,110811.83333333333,12th,8.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,19.333333333333332,United-States,<=50k,6
3051,18.181818181818183,Private,140922.63636363635,"12th,11th",7.181818181818182,Never-married,Handlers-cleaners,Own-child,White,Male,54.0,0.0,24.545454545454547,"United-States,Peru",<=50k,11
2959,18.3,"Private,State-gov",98053.1,"9th,HS-grad",8.2,Never-married,"Craft-repair,Farming-fishing,Other-service",Own-child,White,Male,0.0,0.0,22.0,"United-States,Canada,?",<=50k,10
1235,18.333333333333332,?,138619.0,"HS-grad,10th",8.333333333333334,Never-married,?,"Not-in-family,Own-child","White,Black",Female,0.0,178.0,20.0,United-States,<=50k,9
133,18.333333333333332,"Local-gov,?",234794.16666666666,"12th,11th",7.333333333333333,Never-married,"Prof-specialty,Other-service,?",Own-child,Black,Male,0.0,0.0,18.0,United-States,<=50k,6
2924,18.4,Private,94308.9,"9th,HS-grad",8.6,Never-married,"Handlers-cleaners,Other-service",Own-child,White,Female,0.0,0.0,29.0,United-States,<=50k,10
1732,18.444444444444443,?,106188.77777777778,Some-college,10.0,Never-married,?,Own-child,White,Female,66.0,0.0,15.0,United-States,<=50k,9
1567,18.5,Private,107522.625,HS-grad,9.0,Never-married,"Machine-op-inspct,Adm-clerical",Own-child,White,Female,0.0,0.0,22.25,United-States,<=50k,8
1177,18.5,Private,197272.5,11th,7.0,Never-married,"Prof-specialty,Other-service","Not-in-family,Own-child",White,Female,0.0,0.0,20.5,United-States,<=50k,6
1681,18.5,Private,358476.625,"12th,11th",7.75,Never-married,"Handlers-cleaners,Machine-op-inspct,Adm-clerical",Own-child,White,Male,0.0,0.0,23.625,"United-States,Mexico,?",<=50k,8
5314,18.555555555555557,Private,145259.66666666666,Some-college,10.0,Never-married,"Other-service,Sales",Own-child,White,Female,0.0,0.0,20.444444444444443,"United-States,Mexico",<=50k,9
1735,18.571428571428573,?,84708.0,Some-college,10.0,Never-married,?,Own-child,"White,Black",Female,0.0,0.0,28.428571428571427,"United-States,Japan",<=50k,7
3692,18.625,?,95822.125,Some-college,10.0,Never-married,?,Own-child,White,Female,0.0,0.0,40.625,United-States,<=50k,8
5315,18.625,Private,132818.5,Some-college,10.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,27.125,United-States,<=50k,8
3624,18.625,Private,171746.375,Some-college,10.0,Never-married,"Handlers-cleaners,Other-service",Own-child,"White,Black",Male,0.0,415.375,23.875,United-States,<=50k,8
1180,18.625,Private,321870.125,"Prof-school,12th,11th",8.125,Never-married,"Prof-specialty,Adm-clerical,Priv-house-serv,Other-service,Sales","Not-in-family,Own-child","White,Black",Female,0.0,0.0,18.25,United-States,<=50k,8
3623,18.625,Private,61151.875,Some-college,10.0,Never-married,"Handlers-cleaners,Other-service",Own-child,"White,Black",Male,0.0,0.0,23.125,"United-States,?",<=50k,8
5313,18.625,Private,78220.5,Some-college,10.0,Never-married,"Other-service,Adm-clerical,Sales",Own-child,White,Female,0.0,0.0,20.75,United-States,<=50k,8
5707,18.666666666666668,Private,120529.5,Some-college,10.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,15.5,United-States,<=50k,6
5316,18.666666666666668,Private,120639.11111111111,Some-college,10.0,Never-married,"Adm-clerical,Sales",Own-child,White,Female,241.77777777777777,0.0,29.444444444444443,United-States,<=50k,9
1168,18.7,Private,99568.4,11th,7.0,"Never-married,Separated","Adm-clerical,Sales",Own-child,White,Female,211.0,0.0,19.9,"United-States,India",<=50k,10
3693,18.714285714285715,?,255207.7142857143,Some-college,10.0,Never-married,?,Own-child,White,Female,0.0,228.85714285714286,40.0,United-States,<=50k,7
2923,18.714285714285715,Private,131482.85714285713,HS-grad,9.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,29.0,United-States,<=50k,7
4814,18.714285714285715,Private,266326.4285714286,Some-college,10.0,Never-married,"Handlers-cleaners,Other-service",Own-child,White,Male,0.0,0.0,12.857142857142858,United-States,<=50k,7
2281,18.833333333333332,Private,137509.83333333334,"9th,HS-grad",8.333333333333334,Never-married,"Adm-clerical,Other-service",Own-child,Black,Male,0.0,0.0,42.0,United-States,<=50k,6
1676,18.857142857142858,Private,212268.14285714287,"12th,11th",7.285714285714286,Never-married,"Other-service,Sales",Own-child,"White,Black",Female,0.0,0.0,29.714285714285715,United-States,<=50k,7
436,18.875,Private,171778.375,10th,6.0,"Never-married,Divorced",Other-service,"Own-child,Unmarried","White,Black",Female,0.0,0.0,16.875,United-States,<=50k,8
782,18.875,"Private,Federal-gov",143989.0,"12th,11th",7.125,Never-married,"Adm-clerical,Other-service",Own-child,Black,Male,131.875,0.0,21.25,"United-States,Haiti",<=50k,8
1193,18.875,"Private,State-gov",153953.375,"12th,11th",7.125,Never-married,"Exec-managerial,Craft-repair,Transport-moving",Own-child,"White,Black",Male,0.0,0.0,23.125,United-States,<=50k,8
23,19.0,"Local-gov,?",119690.83333333333,9th,5.0,Never-married,"Other-service,?","Not-in-family,Own-child","White,Black",Male,0.0,0.0,34.333333333333336,United-States,<=50k,6
2367,19.0,"Never-worked,?",117055.33333333333,Some-college,10.0,Never-married,?,Own-child,White,Male,0.0,0.0,11.666666666666666,United-States,<=50k,6
1171,19.0,Private,107741.16666666667,"Prof-school,11th",8.333333333333334,"Never-married,Divorced","Priv-house-serv,Prof-specialty,Other-service","Not-in-family,Own-child",White,Female,0.0,0.0,13.5,United-States,<=50k,6
2982,19.0,Private,114894.57142857143,"9th,7th-8th",4.571428571428571,Never-married,"Machine-op-inspct,Craft-repair","Other-relative,Own-child",White,Male,0.0,0.0,42.857142857142854,"United-States,Mexico",<=50k,7
4188,19.0,Private,131218.44444444444,Some-college,10.0,Never-married,"Prof-specialty,Sales",Own-child,"White,Black",Male,0.0,0.0,31.666666666666668,United-States,<=50k,9
2965,19.0,Private,141831.2857142857,"9th,HS-grad,7th-8th",7.714285714285714,Never-married,"Handlers-cleaners,Sales",Own-child,White,Male,0.0,245.57142857142858,12.571428571428571,United-States,<=50k,7
2269,19.0,Private,201383.2857142857,"9th,HS-grad",7.857142857142857,Never-married,"Other-service,Farming-fishing",Own-child,Black,Male,0.0,0.0,31.428571428571427,United-States,<=50k,7
1682,19.0,Private,83466.33333333333,"12th,11th",7.333333333333333,Never-married,"Other-service,Sales",Own-child,White,Male,0.0,0.0,42.0,"United-States,El-Salvador",<=50k,6
1181,19.11111111111111,Private,490875.1111111111,"12th,11th",7.111111111111111,Never-married,"Other-service,Adm-clerical,Sales",Own-child,"White,Black",Female,0.0,178.0,16.333333333333332,"United-States,Mexico",<=50k,9
4238,19.125,?,207822.25,Some-college,10.0,Never-married,?,Own-child,White,Male,131.875,0.0,48.75,United-States,<=50k,8
2928,19.142857142857142,Private,249062.14285714287,HS-grad,9.0,Never-married,"Machine-op-inspct,Other-service",Own-child,White,Female,0.0,0.0,28.142857142857142,"United-States,?",<=50k,7
275,19.166666666666668,?,115001.0,"12th,11th",7.5,"Never-married,Married-civ-spouse",?,"Wife,Own-child",White,Female,0.0,0.0,22.0,"United-States,Germany",<=50k,6
2930,19.22222222222222,Private,206975.88888888888,HS-grad,9.0,Never-married,"Handlers-cleaners,Adm-clerical,Sales",Own-child,White,Female,0.0,191.0,18.555555555555557,United-States,<=50k,9
771,19.22222222222222,Private,448203.3333333333,"Preschool,10th",5.444444444444445,Never-married,"Machine-op-inspct,Other-service",Own-child,"White,Black",Male,0.0,0.0,20.0,"Canada,United-States",<=50k,9
2968,19.25,Private,119077.875,HS-grad,9.0,Never-married,"Handlers-cleaners,Sales",Own-child,White,Male,0.0,0.0,33.25,United-States,<=50k,8
2970,19.285714285714285,Private,262762.5714285714,HS-grad,9.0,Never-married,"Handlers-cleaners,Sales",Own-child,White,Male,0.0,0.0,18.571428571428573,United-States,<=50k,7
2971,19.285714285714285,Private,344648.28571428574,"9th,HS-grad",8.428571428571429,Never-married,"Handlers-cleaners,Sales",Own-child,White,Male,310.85714285714283,0.0,19.857142857142858,United-States,<=50k,7
4848,19.3,?,150731.4,Some-college,10.0,Never-married,?,Own-child,White,Male,0.0,0.0,41.0,United-States,<=50k,10
1710,19.333333333333332,"Local-gov,Self-emp-inc,?",92806.83333333333,"HS-grad,10th",7.0,Never-married,"Other-service,?",Own-child,White,Male,0.0,0.0,18.166666666666668,United-States,<=50k,6
1678,19.333333333333332,Private,125615.5,"Doctorate,11th",8.5,Never-married,"Adm-clerical,Sales",Own-child,White,Male,0.0,0.0,16.333333333333332,United-States,<=50k,6
120,19.333333333333332,Private,195491.16666666666,"Prof-school,11th",8.333333333333334,Never-married,"Handlers-cleaners,Transport-moving,Tech-support,Exec-managerial,Craft-repair","Not-in-family,Own-child","White,Black",Female,0.0,0.0,17.666666666666668,United-States,<=50k,6
1170,19.333333333333332,"Private,Self-emp-not-inc",93848.5,"Prof-school,12th,11th",8.666666666666666,"Never-married,Divorced","Prof-specialty,Other-service","Not-in-family,Own-child",White,Female,0.0,0.0,7.0,"Italy,United-States",<=50k,6
5312,19.375,Private,76059.0,Some-college,10.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,15.75,"United-States,?",<=50k,8
453,19.428571428571427,Private,178608.85714285713,11th,7.0,Never-married,"Handlers-cleaners,Prof-specialty,Other-service,Transport-moving","Other-relative,Unmarried","White,Black",Male,0.0,0.0,15.428571428571429,United-States,<=50k,7
1680,19.428571428571427,Private,217327.57142857142,"12th,11th",7.571428571428571,Never-married,"Handlers-cleaners,Machine-op-inspct,Adm-clerical",Own-child,"White,Black",Male,0.0,0.0,26.428571428571427,United-States,<=50k,7
1191,19.428571428571427,Private,313109.4285714286,"12th,11th",7.285714285714286,"Never-married,Married-civ-spouse","Other-service,Sales",Own-child,Black,Male,84.85714285714286,228.85714285714286,18.714285714285715,United-States,<=50k,7
1176,19.5,Private,183302.66666666666,"Doctorate,12th,11th",8.666666666666666,Never-married,"Prof-specialty,Other-service","Not-in-family,Own-child",White,Female,0.0,0.0,13.0,United-States,<=50k,6
3460,19.5,Private,199381.5,"HS-grad,7th-8th",8.166666666666666,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,42.5,United-States,<=50k,6
4219,19.5,"Private,Self-emp-not-inc",106522.75,"Some-college,HS-grad",9.25,Never-married,Transport-moving,Own-child,White,Male,272.0,0.0,41.25,United-States,<=50k,8
1086,19.5,"Self-emp-not-inc,Federal-gov",194873.5,Some-college,10.0,Never-married,"Handlers-cleaners,Prof-specialty,Other-service,Farming-fishing,Craft-repair",Own-child,White,Male,0.0,376.3333333333333,20.0,"United-States,England",<=50k,6
1194,19.555555555555557,Private,290384.0,"12th,11th",7.111111111111111,Never-married,"Craft-repair,Transport-moving",Own-child,White,Male,66.0,0.0,28.22222222222222,United-States,<=50k,9
798,19.571428571428573,?,191759.7142857143,"HS-grad,10th",7.714285714285714,"Never-married,Married-civ-spouse",?,"Wife,Other-relative,Unmarried",White,Female,0.0,0.0,33.0,United-States,<=50k,7
795,19.571428571428573,"Local-gov,Self-emp-inc,?",136364.57142857142,"HS-grad,10th",8.142857142857142,"Never-married,Married-civ-spouse","Protective-serv,Farming-fishing,?",Own-child,White,Female,150.71428571428572,0.0,10.428571428571429,United-States,<=50k,7
4187,19.625,"Private,State-gov",133202.625,Some-college,10.0,Never-married,"Prof-specialty,Craft-repair,Sales",Own-child,"White,Black",Male,0.0,0.0,22.5,United-States,<=50k,8
2961,19.666666666666668,Private,100729.55555555556,"HS-grad,7th-8th",8.444444444444445,Never-married,"Craft-repair,Other-service",Own-child,White,Male,0.0,178.0,32.44444444444444,United-States,<=50k,9
2345,19.666666666666668,Private,227376.66666666666,"12th,11th",7.5,Never-married,"Handlers-cleaners,Craft-repair",Own-child,White,Male,0.0,267.0,41.666666666666664,"Columbia,United-States",<=50k,6
2993,19.666666666666668,Private,258837.83333333334,"HS-grad,7th-8th",8.166666666666666,Never-married,"Machine-op-inspct,Adm-clerical",Own-child,White,Male,0.0,0.0,46.666666666666664,United-States,<=50k,6
4821,19.666666666666668,Private,297708.5,Some-college,10.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,29.166666666666668,"United-States,Mexico",<=50k,6
3652,19.666666666666668,"Private,State-gov,Self-emp-not-inc",206375.33333333334,"Some-college,HS-grad",9.222222222222221,Never-married,"Handlers-cleaners,Transport-moving",Own-child,White,Male,0.0,0.0,46.111111111111114,United-States,<=50k,9
4165,19.7,Private,199518.2,Some-college,10.0,Never-married,Other-service,Own-child,White,Female,59.4,0.0,14.0,United-States,<=50k,10
1713,19.714285714285715,"Never-worked,?",297376.0,"HS-grad,10th",7.285714285714286,Never-married,?,Own-child,White,Male,150.71428571428572,0.0,30.285714285714285,United-States,<=50k,7
3003,19.727272727272727,Private,282553.2727272727,Some-college,10.0,Never-married,"Machine-op-inspct,Other-service,Sales",Own-child,White,Male,0.0,0.0,40.90909090909091,United-States,<=50k,11
4847,19.77777777777778,?,64927.666666666664,Some-college,10.0,Never-married,?,Own-child,White,Male,0.0,0.0,52.0,United-States,<=50k,9
4794,19.8,"Private,Self-emp-not-inc",203673.2,"Assoc-voc,Some-college",10.1,Never-married,Other-service,Own-child,White,Female,0.0,0.0,20.2,United-States,<=50k,10
3681,19.833333333333332,"Local-gov,?",216203.33333333334,"HS-grad,10th",8.5,Never-married,"Handlers-cleaners,?",Own-child,White,Male,0.0,0.0,40.0,United-States,<=50k,6
5716,19.833333333333332,Private,234110.83333333334,Some-college,10.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,27.5,United-States,<=50k,6
2933,19.833333333333332,"State-gov,Self-emp-not-inc",60053.333333333336,Some-college,10.0,Never-married,"Adm-clerical,Sales,Other-service",Own-child,White,Female,0.0,0.0,16.833333333333332,United-States,<=50k,6
1606,19.875,Private,150212.25,"9th,HS-grad",8.5,Never-married,"Machine-op-inspct,Exec-managerial,Adm-clerical,Transport-moving",Own-child,White,Male,131.875,0.0,21.75,United-States,<=50k,8
4810,19.875,Private,343489.625,Some-college,10.0,Never-married,"Prof-specialty,Adm-clerical",Own-child,White,Female,0.0,250.125,41.0,"United-States,Puerto-Rico",<=50k,8
2973,19.88888888888889,Private,370286.55555555556,"9th,HS-grad,7th-8th",8.0,Never-married,"Handlers-cleaners,Prof-specialty,Sales",Own-child,White,Male,0.0,0.0,30.555555555555557,"United-States,Mexico",<=50k,9
3675,19.9,"Local-gov,?",105623.8,HS-grad,9.0,Never-married,"Farming-fishing,?",Own-child,"White,Black",Male,0.0,0.0,46.0,"Italy,United-States",<=50k,10
2279,19.9,"Private,State-gov",288578.6,"Some-college,Assoc-acdm",10.4,Never-married,"Machine-op-inspct,Transport-moving,Tech-support",Own-child,White,Male,290.7,171.9,23.1,"United-States,?",<=50k,10
3077,20.0,?,151284.875,Some-college,10.0,Never-married,?,Own-child,White,Male,0.0,0.0,30.5,United-States,<=50k,8
4241,20.0,?,96843.28571428571,Some-college,10.0,Never-married,?,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50k,7
274,20.0,"Local-gov,Never-worked,?",143944.5,11th,7.0,"Never-married,Married-civ-spouse","Other-service,Adm-clerical,?","Wife,Own-child",White,Female,0.0,0.0,11.5,United-States,<=50k,6
466,20.0,"Local-gov,Without-pay,Self-emp-inc",154179.0,"Assoc-voc,Some-college,HS-grad,10th",8.5,Never-married,"Protective-serv,Machine-op-inspct,Farming-fishing,Sales",Own-child,White,Male,0.0,0.0,19.333333333333332,United-States,<=50k,6
2937,20.0,Private,104799.55555555556,"9th,HS-grad",8.555555555555555,Never-married,"Machine-op-inspct,Sales",Own-child,White,Female,455.6666666666667,0.0,40.22222222222222,"United-States,?",<=50k,9
4792,20.0,Private,109165.5,Some-college,10.0,Never-married,"Other-service,Sales",Own-child,White,Female,0.0,0.0,9.5,United-States,<=50k,10
4192,20.0,Private,158620.14285714287,Some-college,10.0,Never-married,"Handlers-cleaners,Other-service",Own-child,"White,Black",Male,0.0,0.0,22.428571428571427,United-States,<=50k,7
1677,20.0,Private,311339.75,"12th,11th",7.25,"Never-married,Widowed","Other-service,Transport-moving,Sales",Own-child,"White,Black",Female,0.0,0.0,31.375,United-States,<=50k,8
4191,20.0,Private,59873.5,Some-college,10.0,Never-married,"Handlers-cleaners,Other-service",Own-child,White,Male,362.6666666666667,286.5,24.333333333333332,United-States,<=50k,6
2275,20.0,"Private,Federal-gov",125331.66666666667,HS-grad,9.0,Never-married,"Adm-clerical,Transport-moving",Own-child,White,Male,0.0,0.0,31.833333333333332,United-States,<=50k,6
4172,20.0,"Private,State-gov",133847.875,Some-college,10.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,42.5,"United-States,?",<=50k,8
4166,20.09090909090909,Private,279458.0,"Assoc-voc,Some-college",10.090909090909092,Never-married,Other-service,Own-child,White,Female,0.0,0.0,14.727272727272727,United-States,<=50k,11
2931,20.1,Private,245145.0,HS-grad,9.0,Never-married,"Handlers-cleaners,Adm-clerical,Sales",Own-child,White,Female,0.0,0.0,23.9,United-States,<=50k,10
4826,20.1,"Private,Self-emp-not-inc",151381.3,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,43.5,United-States,<=50k,10
3609,20.1,"Private,State-gov",118804.6,HS-grad,9.0,Never-married,"Exec-managerial,Adm-clerical,Craft-repair","Other-relative,Own-child",White,Female,0.0,0.0,40.3,United-States,<=50k,10
1237,20.11111111111111,?,272134.3333333333,"HS-grad,10th",8.333333333333334,"Never-married,Married-civ-spouse",?,Own-child,"White,Black",Female,3788.3333333333335,178.0,30.0,United-States,<=50k,9
4795,20.11111111111111,Private,196221.0,"Bachelors,Some-college",10.333333333333334,Never-married,Other-service,Own-child,White,Female,0.0,0.0,28.444444444444443,United-States,<=50k,9
2962,20.11111111111111,"Private,Self-emp-not-inc",198331.33333333334,"9th,HS-grad",8.555555555555555,Never-married,"Other-service,Farming-fishing,Craft-repair",Own-child,White,Male,117.22222222222223,0.0,18.22222222222222,"United-States,?",<=50k,9
2964,20.125,Private,320581.875,"9th,HS-grad",8.5,Never-married,"Other-service,Farming-fishing,Craft-repair",Own-child,White,Male,0.0,0.0,20.125,United-States,<=50k,8
4171,20.125,Private,413943.5,"Bachelors,Some-college",10.375,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,28.125,United-States,<=50k,8
5344,20.125,Private,82041.25,HS-grad,9.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,41.875,United-States,<=50k,8
3636,20.125,"Private,Self-emp-not-inc",283902.625,HS-grad,9.0,Never-married,"Craft-repair,Other-service,Sales",Own-child,White,Male,0.0,0.0,41.0,"United-States,Puerto-Rico,Mexico,?",<=50k,8
3633,20.142857142857142,Private,227358.0,HS-grad,9.0,Never-married,"Craft-repair,Sales,Other-service",Own-child,White,Male,0.0,0.0,42.0,United-States,<=50k,7
2252,20.142857142857142,"Private,State-gov,Federal-gov",208817.7142857143,Some-college,10.0,Never-married,"Exec-managerial,Craft-repair,Tech-support",Own-child,White,Female,0.0,0.0,24.571428571428573,"Ecuador,United-States",<=50k,7
3625,20.142857142857142,State-gov,80124.0,Some-college,10.0,Never-married,"Exec-managerial,Adm-clerical",Own-child,White,Male,0.0,228.85714285714286,11.714285714285714,United-States,<=50k,7
